City,Lat,Lon,Wind Speed,Cloudiness,Humidity,Country,Temperature
andrews,32.32,-102.55,9.17,1,17,US,64.9
killybegs,54.63,-8.45,5.5,100,94,IE,44.01
yurla,59.33,54.32,2.73,100,92,RU,32.86
chitral,35.85,71.79,5.14,70,21,PK,58.17
zarubino,42.63,131.09,4.63,0,62,RU,41.86
praia,14.92,-23.51,8.05,23,78,CV,73.4
muros,42.78,-9.06,1.01,50,90,ES,52.47
apricena,41.78,15.44,6.93,5,75,IT,48.99
kilindoni,-7.91,39.67,13.18,100,77,TZ,82.49
tilichiki,60.47,166.1,4.72,0,90,RU,17.67
batemans bay,-35.72,150.18,5.84,0,34,AU,68.34
gorbatovka,56.25,43.75,15.66,100,68,RU,31.35
san fernando,15.03,120.69,2.24,75,55,PH,87.94
torbat-e jam,35.24,60.62,10.25,97,56,IR,61.97
lompoc,34.64,-120.46,9.17,90,81,US,52.54
ottawa,45.41,-75.7,4.7,5,51,CA,34.29
boralday,43.36,76.86,4.47,20,62,KZ,55.4
balkanabat,39.51,54.37,4.36,37,57,TM,54.45
magdalena,14.2,121.43,8.05,90,66,PH,87.31
kaoma,-14.78,24.8,3.62,95,68,ZM,62.04
khasan,42.43,130.64,1.21,0,51,RU,46.98
badarganj,25.67,89.05,4.59,43,29,BD,87.82
aklavik,68.22,-135.01,6.93,20,53,CA,23.0
tanout,14.97,8.89,7.2,100,16,NE,75.63
alterosa,-21.25,-46.14,2.91,0,74,BR,60.96
kjollefjord,70.95,27.35,14.99,100,73,NO,24.8
siyabuswa,-25.11,29.04,1.52,0,43,ZA,62.37
san joaquin,10.26,-67.79,4.21,82,66,VE,76.32
mendoza,-32.89,-68.83,4.7,83,56,AR,68.0
gewane,10.17,40.65,8.84,71,57,ET,79.02
vila,42.03,-8.16,1.12,90,100,PT,49.41
seguela,7.96,-6.67,4.32,64,76,CI,74.41
jega,12.22,4.38,6.96,16,22,NG,84.25
trinidad,-14.83,-64.9,0.94,39,66,BO,70.54
bambanglipuro,-7.95,110.28,2.71,87,63,ID,85.23
vuktyl,63.86,57.31,3.42,100,94,RU,19.87
astana,51.18,71.45,13.42,93,52,KZ,44.6
auki,-8.77,160.7,1.7,85,71,SB,83.93
otavi,-19.65,17.33,3.56,62,53,NA,61.99
balasheyka,53.28,48.09,4.54,100,67,RU,39.76
fairbanks,64.84,-147.72,3.36,90,48,US,42.3
carutapera,-1.2,-46.02,5.88,98,86,BR,79.79
joshimath,30.57,79.57,2.33,13,12,IN,64.35
cap malheureux,-19.98,57.61,14.99,40,83,MU,78.93
moussoro,13.64,16.49,12.12,89,17,TD,76.46
bloomington,44.84,-93.3,12.75,90,42,US,47.14
las cruces,32.31,-106.78,21.92,1,30,US,58.21
melfi,41.0,15.65,6.93,5,75,IT,46.4
jijiga,9.35,42.8,7.29,41,50,ET,65.52
kedrovyy,56.17,91.82,8.95,0,52,RU,41.0
berlevag,70.86,29.09,14.99,100,73,NO,24.8
safita,34.82,36.12,4.7,40,93,SY,46.2
amontada,-3.36,-39.83,1.72,100,91,BR,76.03
santa barbara,34.42,-119.7,5.82,1,77,US,56.55
phek,25.67,94.5,1.52,0,21,IN,76.12
dongsheng,39.82,109.98,5.39,0,22,CN,46.83
nichinan,31.6,131.37,6.93,75,93,JP,55.15
lincoln,40.8,-96.67,11.41,1,71,US,53.06
okhotsk,59.38,143.3,7.67,53,94,RU,30.88
puri,19.8,85.85,2.24,0,70,IN,86.0
falmouth,50.15,-5.07,8.05,7,87,GB,49.1
bloemfontein,-29.12,26.21,3.36,0,93,ZA,57.2
sur,22.57,59.53,14.14,1,58,OM,79.95
sorkjosen,69.8,20.93,10.89,100,86,NO,28.33
boyolangu,-8.12,111.89,3.62,43,63,ID,84.7
wilkie,52.42,-108.7,9.17,1,67,CA,16.3
luau,-10.71,22.22,3.89,72,71,AO,62.96
zaranj,30.97,61.88,4.7,100,77,AF,66.2
adrar,20.5,-10.07,10.11,0,21,MR,76.03
balabac,7.99,117.06,7.11,4,59,PH,87.84
vieques,18.43,-65.83,9.17,20,83,PR,77.76
trat,12.5,102.5,2.24,20,74,TH,85.41
hornepayne,49.21,-84.77,7.34,13,91,CA,29.52
ugoofaaru,5.67,73.0,7.36,10,68,MV,85.46
teguldet,57.31,88.17,5.79,0,63,RU,42.01
haines junction,60.75,-137.51,2.66,0,72,CA,30.22
kaeo,-35.1,173.78,14.0,79,90,NZ,66.0
sembakung,3.82,117.25,1.59,43,74,ID,85.23
san luis,-33.3,-66.34,5.06,98,47,AR,63.72
